Teams,Rating
"arizona-cardinals,jacksonville-jaguars,new-england-patriots",92.02
"arizona-cardinals,jacksonville-jaguars,new-york-giants",92.02
"atlanta-falcons,cincinnati-bengals,new-york-jets",92.02
"buffalo-bills,cincinnati-bengals,new-orleans-saints",92.02
"buffalo-bills,green-bay-packers,minnesota-vikings",92.02
"buffalo-bills,indianapolis-colts,los-angeles-chargers",92.02
"buffalo-bills,jacksonville-jaguars,new-york-jets",92.02
"buffalo-bills,los-angeles-chargers,new-york-jets",92.02
"carolina-panthers,denver-broncos,seattle-seahawks",92.02
"green-bay-packers,houston-texans,jacksonville-jaguars",92.02
"green-bay-packers,jacksonville-jaguars,new-orleans-saints",92.02
"green-bay-packers,los-angeles-chargers,new-york-giants",92.02
"green-bay-packers,new-york-giants,new-york-jets",92.02
"jacksonville-jaguars,new-orleans-saints,pittsburgh-steelers",92.02
"buffalo-bills,cincinnati-bengals,denver-broncos",92.03
"buffalo-bills,cincinnati-bengals,new-england-patriots",92.03
"carolina-panthers,denver-broncos,green-bay-packers",92.03
"carolina-panthers,indianapolis-colts,jacksonville-jaguars",92.03
"denver-broncos,new-orleans-saints,pittsburgh-steelers",92.03
"green-bay-packers,jacksonville-jaguars,seattle-seahawks",92.03
"los-angeles-chargers,new-orleans-saints,tennessee-titans",92.03
"los-angeles-chargers,new-york-giants,tennessee-titans",92.03
"new-york-giants,new-york-jets,seattle-seahawks",92.03
"arizona-cardinals,carolina-panthers,green-bay-packers",92.04
"atlanta-falcons,cincinnati-bengals,jacksonville-jaguars",92.04
"carolina-panthers,cincinnati-bengals,new-england-patriots",92.04
"cincinnati-bengals,denver-broncos,pittsburgh-steelers",92.04
"cincinnati-bengals,new-york-jets,pittsburgh-steelers",92.04
"denver-broncos,los-angeles-chargers,seattle-seahawks",92.04
"jacksonville-jaguars,seattle-seahawks,tampa-bay-buccaneers",92.04
"los-angeles-chargers,los-angeles-rams,new-york-jets",92.04
"los-angeles-chargers,minnesota-vikings,new-orleans-saints",92.04
"los-angeles-chargers,new-orleans-saints,new-york-giants",92.04
"arizona-cardinals,buffalo-bills,jacksonville-jaguars",92.05
"arizona-cardinals,denver-broncos,new-york-jets",92.05
"atlanta-falcons,jacksonville-jaguars,new-york-jets",92.05
"buffalo-bills,carolina-panthers,los-angeles-chargers",92.05
"buffalo-bills,cincinnati-bengals,los-angeles-rams",92.05
"buffalo-bills,denver-broncos,new-orleans-saints",92.05
"buffalo-bills,jacksonville-jaguars,los-angeles-rams",92.05
"buffalo-bills,jacksonville-jaguars,new-orleans-saints",92.05
"carolina-panthers,cincinnati-bengals,houston-texans",92.05
"carolina-panthers,los-angeles-chargers,new-england-patriots",92.05
"cleveland-browns,indianapolis-colts,los-angeles-chargers",92.05
"los-angeles-chargers,new-orleans-saints,seattle-seahawks",92.05
"los-angeles-rams,new-york-giants,new-york-jets",92.05
"buffalo-bills,cincinnati-bengals,new-york-giants",92.06
"buffalo-bills,green-bay-packers,new-york-jets",92.06
"carolina-panthers,cincinnati-bengals,los-angeles-rams",92.06
"carolina-panthers,green-bay-packers,new-orleans-saints",92.06
"cincinnati-bengals,cleveland-browns,green-bay-packers",92.06
"cincinnati-bengals,cleveland-browns,jacksonville-jaguars",92.06
"denver-broncos,jacksonville-jaguars,new-england-patriots",92.06
"denver-broncos,new-orleans-saints,new-york-giants",92.06
"detroit-lions,new-orleans-saints,new-york-jets",92.06
"green-bay-packers,los-angeles-chargers,seattle-seahawks",92.06
"indianapolis-colts,jacksonville-jaguars,new-england-patriots",92.06
"indianapolis-colts,los-angeles-chargers,new-england-patriots",92.06
"jacksonville-jaguars,minnesota-vikings,new-york-giants",92.06
"los-angeles-chargers,seattle-seahawks,tennessee-titans",92.06
"new-england-patriots,seattle-seahawks,tampa-bay-buccaneers",92.06
"arizona-cardinals,jacksonville-jaguars,minnesota-vikings",92.07
"arizona-cardinals,los-angeles-chargers,new-york-giants",92.07
"arizona-cardinals,los-angeles-chargers,new-york-jets",92.07
"carolina-panthers,jacksonville-jaguars,tennessee-titans",92.07
"cincinnati-bengals,indianapolis-colts,new-england-patriots",92.07
"cleveland-browns,jacksonville-jaguars,los-angeles-chargers",92.07
"denver-broncos,miami-dolphins,new-orleans-saints",92.07
"green-bay-packers,jacksonville-jaguars,new-england-patriots",92.07
